;Scopy version,e02cebe
;Exported on,Thursday December 09/12/2021
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,25,11.9837,0.0340328
1,25.1735,11.9676,-0.0284662
2,25.3481,11.9752,-0.0793198
3,25.524,11.9727,0.00559137
4,25.7011,11.9597,-0.0246633
5,25.8794,11.9651,0.0878259
6,26.059,11.9813,0.0343473
7,26.2398,11.9655,0.0208272
8,26.4219,11.9491,0.0435264
9,26.6052,11.9763,0.00638828
10,26.7898,11.9753,0.0465962
11,26.9757,11.9787,0.0356575
12,27.1629,11.9704,-0.0490203
13,27.3514,11.9757,0.091068
14,27.5411,11.9706,0.00145578
15,27.7322,11.9711,-0.0689617
16,27.9247,11.9757,0.0310667
17,28.1184,11.9753,-0.00186328
18,28.3135,11.9678,-0.00979763
19,28.51,11.9827,-0.0875803
20,28.7078,11.972,0.0126749
21,28.907,11.9976,0.0328329
22,29.1076,11.9754,-0.00535033
23,29.3095,11.9618,-0.0716798
24,29.5129,11.9737,-0.0755958
25,29.7177,11.9645,0.0680907
26,29.9239,11.9681,-0.0156623
27,30.1315,11.9693,-0.0498633
28,30.3406,11.9762,-0.0222579
29,30.5511,11.9802,0.0432134
30,30.7631,11.9735,0.059021
31,30.9766,11.969,-0.0221329
32,31.1915,11.9563,0.015128
33,31.4079,11.9647,0.0502848
34,31.6258,11.9642,-0.0538377
35,31.8453,11.9752,-0.0217742
36,32.0662,11.9667,-0.0697319
37,32.2887,11.9674,-0.0568424
38,32.5128,11.975,-0.0665835
39,32.7384,11.9732,-0.13965
40,32.9655,11.9707,-0.0425443
41,33.1943,11.9952,-0.0929009
42,33.4246,11.9781,-0.0428182
43,33.6565,11.9546,-0.0541899
44,33.89,11.969,-0.0715214
45,34.1252,11.9748,-0.00620583
46,34.362,11.983,-0.0453903
47,34.6004,11.9754,-0.0692685
48,34.8405,11.9778,-0.0246259
49,35.0822,11.9801,-0.124965
50,35.3256,11.9606,-0.0407418
51,35.5708,11.9671,-0.0626655
52,35.8176,11.9779,-0.0355363
53,36.0661,11.9853,-0.0800874
54,36.3163,11.9842,0.0505653
55,36.5683,11.9666,-0.111586
56,36.8221,11.966,-0.0207754
57,37.0776,11.9693,-0.0643187
58,37.3348,11.9636,-0.0907736
59,37.5939,11.9774,-0.0625211
60,37.8547,11.9831,-0.12682
